timestamp,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,speed_ratio,delay_time,date,time,location
2025-05-12 17:43:00.471393,12.9716,77.5946,FRC2,20,26,1736,1335,0.7692307692307693,401,2025-05-12,17:43:00.471393,"Bangalore, India"
2025-05-12 17:43:01.187345,13.0827,80.2707,FRC2,16,24,584,389,0.6666666666666666,195,2025-05-12,17:43:01.187345,"Chennai, India"
2025-05-12 17:43:02.044455,22.5726,88.3639,FRC3,23,23,141,141,1.0,0,2025-05-12,17:43:02.044455,"Kolkata, India"
2025-05-12 17:43:03.007177,26.8467,80.9462,FRC2,22,30,2506,1837,0.7333333333333333,669,2025-05-12,17:43:03.007177,"Lucknow, India"
2025-05-12 17:43:03.847468,23.2599,77.4126,FRC4,21,21,468,468,1.0,0,2025-05-12,17:43:03.847468,"Bhopal, India"
2025-05-12 17:43:04.732650,30.7333,76.7794,FRC3,21,21,3,3,1.0,0,2025-05-12,17:43:04.732650,"Chandigarh, India"
2025-05-13 08:35:07.255255,27.1767,78.0081,FRC2,31,31,592,592,1.0,0,2025-05-13,08:35:07.255255,"Taj Mahal, India"
2025-05-13 08:35:08.712820,27.1879,78.0129,FRC2,28,28,836,836,1.0,0,2025-05-13,08:35:08.712820,"Agra Fort, India"
2025-05-13 08:35:14.094622,28.6129,77.2295,FRC1,39,39,149,149,1.0,0,2025-05-13,08:35:14.094622,"India Gate, Delhi, India"
2025-05-13 08:35:16.074664,19.076,72.8777,FRC4,18,18,146,146,1.0,0,2025-05-13,08:35:16.074664,"Mumbai, India"
2025-05-13 08:35:17.945877,12.9716,77.5946,FRC2,19,26,1827,1335,0.7307692307692307,492,2025-05-13,08:35:17.945877,"Bangalore, India"
2025-05-13 08:35:19.838275,13.0827,80.2707,FRC2,24,24,389,389,1.0,0,2025-05-13,08:35:19.838275,"Chennai, India"
2025-05-13 08:35:23.070067,22.5726,88.3639,FRC3,23,23,141,141,1.0,0,2025-05-13,08:35:23.070067,"Kolkata, India"
2025-05-13 08:35:24.888742,26.8467,80.9462,FRC2,30,30,1837,1837,1.0,0,2025-05-13,08:35:24.888742,"Lucknow, India"
2025-05-13 08:35:27.346289,23.2599,77.4126,FRC4,21,21,468,468,1.0,0,2025-05-13,08:35:27.346289,"Bhopal, India"
2025-05-13 08:35:31.394509,30.7333,76.7794,FRC3,21,21,3,3,1.0,0,2025-05-13,08:35:31.394509,"Chandigarh, India"
